symbol,entry_date,exit_date,entry_price,exit_price,return,exit_reason,group_id,highlight
ADBE,2015-10-08,2015-10-16,80.45,88.67,0.10217526413921685,take_profit,,False
IBM,2015-10-20,2015-11-12,88.75,83.641,-0.05756619718309852,stop_loss,3,True
NOW,2015-10-22,2015-10-27,72.31,80.17,0.1086986585534504,take_profit,2,True
AVGO,2015-10-27,2015-12-03,9.399,11.055,0.17618895627194386,take_profit,5,True
AMD,2015-11-12,2015-11-24,2.05,2.34,0.14146341463414647,take_profit,4,True
QCOM,2015-11-24,2016-01-08,36.817,34.792,-0.05500176548876878,stop_loss,7,True
AMD,2015-12-03,2015-12-16,2.25,2.54,0.12888888888888883,take_profit,6,True
ACN,2015-12-18,2016-02-08,88.054,81.172,-0.07815658573148299,stop_loss,9,True
AAPL,2016-01-08,2016-01-27,22.242,21.084,-0.05206366333962775,stop_loss,8,True
AAPL,2016-01-27,2016-03-16,21.675,24.046,0.10938869665513251,take_profit,10,True
ACN,2016-02-08,2016-03-14,82.521,90.778,0.1000593788247841,take_profit,10,True
AMD,2016-03-16,2016-03-17,2.5,2.8,0.11999999999999988,take_profit,,False
AMD,2016-03-22,2016-04-22,2.73,3.99,0.4615384615384617,take_profit,12,True
AVGO,2016-04-20,2016-05-03,11.639,11.004,-0.054557951714064745,stop_loss,13,True
MSFT,2016-04-22,2016-06-27,45.865,43.09,-0.060503652022239174,stop_loss,14,True
AAPL,2016-05-03,2016-07-28,21.375,23.82,0.1143859649122807,take_profit,15,True
ACN,2016-06-27,2016-09-29,95.125,104.867,0.10241261498028909,take_profit,16,True
ADP,2016-08-01,2016-11-22,72.356,79.671,0.10109735198186764,take_profit,19,True
CRM,2016-10-05,2016-10-10,67.5,74.318,0.10100740740740743,take_profit,17,True
ADI,2016-10-13,2016-11-15,51.185,57.424,0.12189117905636415,take_profit,18,True
AVGO,2016-11-15,2016-12-19,12.745,14.033,0.10105923891722246,take_profit,20,True
CSCO,2016-11-22,2017-02-15,22.866,25.163,0.10045482375579473,take_profit,21,True
ACN,2016-12-22,2017-07-20,102.839,113.13,0.10006903995565875,take_profit,28,True
